Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Республика Тыва, все устройства
декабрь 2017;0;0;
январь 2018;1;0,0000206;
февраль 2018;0;0;
март 2018;0;0;
апрель 2018;2;0,0000429;
май 2018;0;0;
июнь 2018;1;0,0000244;
июль 2018;1;0,0000246;
август 2018;0;0;
сентябрь 2018;0;0;
октябрь 2018;1;0,0000179;
ноябрь 2018;0;0;
декабрь 2018;2;0,0000355;
январь 2019;5;0,0000894;
февраль 2019;0;0;
март 2019;0;0;
апрель 2019;0;0;
май 2019;0;0;
июнь 2019;0;0;
июль 2019;0;0;
август 2019;0;0;
сентябрь 2019;0;0;
октябрь 2019;0;0;
ноябрь 2019;0;0;
декабрь 2019;0;0;
январь 2020;0;0;
февраль 2020;0;0;
март 2020;0;0;
апрель 2020;0;0;
май 2020;0;0;
июнь 2020;0;0;
июль 2020;0;0;
август 2020;1;0,0000126;
сентябрь 2020;0;0;
октябрь 2020;1;0,0000093;
ноябрь 2020;1;0,0000094;
декабрь 2020;0;0;
январь 2021;0;0;
февраль 2021;0;0;
март 2021;0;0;
апрель 2021;1;0,0000106;
май 2021;1;0,0000118;
июнь 2021;0;0;
июль 2021;0;0;
август 2021;1;0,0000107;
сентябрь 2021;0;0;
октябрь 2021;0;0;
ноябрь 2021;3;0,0000244;
декабрь 2021;0;0;
январь 2022;0;0;
февраль 2022;0;0;
март 2022;0;0;
апрель 2022;0;0;
май 2022;1;0,0000106;
июнь 2022;0;0;
июль 2022;0;0;
август 2022;3;0,0000276;
сентябрь 2022;0;0;
октябрь 2022;0;0;
ноябрь 2022;0;0;
декабрь 2022;0;0;
январь 2023;2;0,0000175;
февраль 2023;0;0;
март 2023;0;0;
апрель 2023;0;0;
май 2023;0;0;
июнь 2023;1;0,0000105;
июль 2023;0;0;
август 2023;2;0,0000176;
сентябрь 2023;1;0,0000077;
октябрь 2023;0;0;
ноябрь 2023;0;0;
декабрь 2023;0;0;
январь 2024;0;0;
февраль 2024;0;0;
март 2024;0;0;
апрель 2024;0;0;
май 2024;0;0;
июнь 2024;0;0;
июль 2024;0;0;
август 2024;0;0;
сентябрь 2024;1;0,0000081;
октябрь 2024;0;0;
ноябрь 2024;0;0;
декабрь 2024;0;0;
