Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона Кыргызстан», по месяцам, 31.12.2017 — 30.01.2025, Мурманская область, все устройства
декабрь 2017;0;0;
январь 2018;0;0;
февраль 2018;0;0;
март 2018;0;0;
апрель 2018;0;0;
май 2018;0;0;
июнь 2018;0;0;
июль 2018;0;0;
август 2018;0;0;
сентябрь 2018;2;0,0000049;
октябрь 2018;0;0;
ноябрь 2018;0;0;
декабрь 2018;5;0,0000135;
январь 2019;0;0;
февраль 2019;0;0;
март 2019;2;0,0000057;
апрель 2019;0;0;
май 2019;0;0;
июнь 2019;2;0,0000073;
июль 2019;0;0;
август 2019;0;0;
сентябрь 2019;0;0;
октябрь 2019;1;0,0000026;
ноябрь 2019;0;0;
декабрь 2019;1;0,0000024;
январь 2020;0;0;
февраль 2020;0;0;
март 2020;0;0;
апрель 2020;0;0;
май 2020;0;0;
июнь 2020;0;0;
июль 2020;0;0;
август 2020;0;0;
сентябрь 2020;0;0;
октябрь 2020;1;0,0000021;
ноябрь 2020;0;0;
декабрь 2020;0;0;
январь 2021;0;0;
февраль 2021;0;0;
март 2021;1;0,0000020;
апрель 2021;0;0;
май 2021;0;0;
июнь 2021;0;0;
июль 2021;2;0,0000054;
август 2021;0;0;
сентябрь 2021;1;0,0000019;
октябрь 2021;0;0;
ноябрь 2021;0;0;
декабрь 2021;1;0,0000017;
январь 2022;0;0;
февраль 2022;1;0,0000016;
март 2022;2;0,0000035;
апрель 2022;0;0;
май 2022;4;0,0000086;
июнь 2022;1;0,0000023;
июль 2022;1;0,0000023;
август 2022;2;0,0000038;
сентябрь 2022;0;0;
октябрь 2022;3;0,0000051;
ноябрь 2022;0;0;
декабрь 2022;0;0;
январь 2023;0;0;
февраль 2023;5;0,0000085;
март 2023;0;0;
апрель 2023;0;0;
май 2023;1;0,0000022;
июнь 2023;1;0,0000024;
июль 2023;1;0,0000024;
август 2023;0;0;
сентябрь 2023;0;0;
октябрь 2023;0;0;
ноябрь 2023;0;0;
декабрь 2023;1;0,0000018;
январь 2024;0;0;
февраль 2024;2;0,0000036;
март 2024;0;0;
апрель 2024;0;0;
май 2024;0;0;
июнь 2024;0;0;
июль 2024;0;0;
август 2024;1;0,0000023;
сентябрь 2024;0;0;
октябрь 2024;0;0;
ноябрь 2024;0;0;
декабрь 2024;0;0;
