Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона Кыргызстан», по месяцам, 31.12.2017 — 30.01.2025, Тверская область, все устройства
декабрь 2017;0;0;
январь 2018;1;0,0000019;
февраль 2018;2;0,0000035;
март 2018;0;0;
апрель 2018;0;0;
май 2018;0;0;
июнь 2018;0;0;
июль 2018;0;0;
август 2018;0;0;
сентябрь 2018;0;0;
октябрь 2018;0;0;
ноябрь 2018;0;0;
декабрь 2018;0;0;
январь 2019;0;0;
февраль 2019;1;0,0000017;
март 2019;0;0;
апрель 2019;0;0;
май 2019;0;0;
июнь 2019;0;0;
июль 2019;0;0;
август 2019;0;0;
сентябрь 2019;0;0;
октябрь 2019;3;0,0000051;
ноябрь 2019;0;0;
декабрь 2019;0;0;
январь 2020;0;0;
февраль 2020;0;0;
март 2020;0;0;
апрель 2020;7;0,0000090;
май 2020;1;0,0000016;
июнь 2020;0;0;
июль 2020;0;0;
август 2020;0;0;
сентябрь 2020;0;0;
октябрь 2020;0;0;
ноябрь 2020;0;0;
декабрь 2020;1;0,0000014;
январь 2021;3;0,0000043;
февраль 2021;2;0,0000026;
март 2021;0;0;
апрель 2021;0;0;
май 2021;0;0;
июнь 2021;0;0;
июль 2021;0;0;
август 2021;0;0;
сентябрь 2021;0;0;
октябрь 2021;0;0;
ноябрь 2021;0;0;
декабрь 2021;1;0,0000011;
январь 2022;0;0;
февраль 2022;2;0,0000020;
март 2022;4;0,0000043;
апрель 2022;1;0,0000011;
май 2022;4;0,0000049;
июнь 2022;1;0,0000012;
июль 2022;2;0,0000024;
август 2022;2;0,0000022;
сентябрь 2022;0;0;
октябрь 2022;4;0,0000042;
ноябрь 2022;1;0,0000010;
декабрь 2022;1;0,0000010;
январь 2023;2;0,0000022;
февраль 2023;2;0,0000020;
март 2023;0;0;
апрель 2023;0;0;
май 2023;0;0;
июнь 2023;4;0,0000048;
июль 2023;2;0,0000024;
август 2023;2;0,0000024;
сентябрь 2023;1;0,0000010;
октябрь 2023;1;0,0000011;
ноябрь 2023;1;0,0000011;
декабрь 2023;1;0,0000010;
январь 2024;0;0;
февраль 2024;0;0;
март 2024;1;0,0000011;
апрель 2024;0;0;
май 2024;0;0;
июнь 2024;0;0;
июль 2024;3;0,0000039;
август 2024;2;0,0000026;
сентябрь 2024;1;0,0000011;
октябрь 2024;0;0;
ноябрь 2024;1;0,0000011;
декабрь 2024;0;0;
