Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона Кыргызстан», по месяцам, 31.12.2017 — 30.01.2025, Амурская область, все устройства
декабрь 2017;0;0;
январь 2018;0;0;
февраль 2018;0;0;
март 2018;2;0,0000107;
апрель 2018;0;0;
май 2018;0;0;
июнь 2018;0;0;
июль 2018;0;0;
август 2018;0;0;
сентябрь 2018;0;0;
октябрь 2018;0;0;
ноябрь 2018;0;0;
декабрь 2018;2;0,0000091;
январь 2019;0;0;
февраль 2019;0;0;
март 2019;0;0;
апрель 2019;3;0,0000155;
май 2019;0;0;
июнь 2019;2;0,0000114;
июль 2019;0;0;
август 2019;0;0;
сентябрь 2019;2;0,0000085;
октябрь 2019;0;0;
ноябрь 2019;0;0;
декабрь 2019;6;0,0000222;
январь 2020;3;0,0000114;
февраль 2020;2;0,0000068;
март 2020;2;0,0000056;
апрель 2020;1;0,0000029;
май 2020;2;0,0000075;
июнь 2020;1;0,0000041;
июль 2020;3;0,0000124;
август 2020;4;0,0000140;
сентябрь 2020;2;0,0000058;
октябрь 2020;4;0,0000109;
ноябрь 2020;0;0;
декабрь 2020;0;0;
январь 2021;0;0;
февраль 2021;0;0;
март 2021;0;0;
апрель 2021;0;0;
май 2021;1;0,0000033;
июнь 2021;3;0,0000103;
июль 2021;0;0;
август 2021;0;0;
сентябрь 2021;4;0,0000115;
октябрь 2021;0;0;
ноябрь 2021;0;0;
декабрь 2021;0;0;
январь 2022;0;0;
февраль 2022;2;0,0000051;
март 2022;2;0,0000053;
апрель 2022;2;0,0000054;
май 2022;2;0,0000061;
июнь 2022;1;0,0000032;
июль 2022;0;0;
август 2022;1;0,0000028;
сентябрь 2022;0;0;
октябрь 2022;7;0,0000169;
ноябрь 2022;9;0,0000223;
декабрь 2022;0;0;
январь 2023;0;0;
февраль 2023;1;0,0000024;
март 2023;0;0;
апрель 2023;0;0;
май 2023;1;0,0000030;
июнь 2023;0;0;
июль 2023;1;0,0000031;
август 2023;1;0,0000029;
сентябрь 2023;2;0,0000053;
октябрь 2023;0;0;
ноябрь 2023;0;0;
декабрь 2023;0;0;
январь 2024;0;0;
февраль 2024;0;0;
март 2024;0;0;
апрель 2024;0;0;
май 2024;0;0;
июнь 2024;1;0,0000035;
июль 2024;0;0;
август 2024;2;0,0000066;
сентябрь 2024;0;0;
октябрь 2024;0;0;
ноябрь 2024;0;0;
декабрь 2024;2;0,0000053;
