Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег в Кыргызстан», по месяцам, 31.12.2017 — 30.01.2025, Липецкая область, все устройства
декабрь 2017;0;0;
январь 2018;0;0;
февраль 2018;2;0,0000035;
март 2018;1;0,0000020;
апрель 2018;1;0,0000021;
май 2018;0;0;
июнь 2018;0;0;
июль 2018;0;0;
август 2018;5;0,0000097;
сентябрь 2018;0;0;
октябрь 2018;0;0;
ноябрь 2018;0;0;
декабрь 2018;0;0;
январь 2019;2;0,0000037;
февраль 2019;0;0;
март 2019;0;0;
апрель 2019;0;0;
май 2019;0;0;
июнь 2019;1;0,0000021;
июль 2019;1;0,0000021;
август 2019;0;0;
сентябрь 2019;0;0;
октябрь 2019;0;0;
ноябрь 2019;0;0;
декабрь 2019;0;0;
январь 2020;0;0;
февраль 2020;0;0;
март 2020;0;0;
апрель 2020;2;0,0000027;
май 2020;0;0;
июнь 2020;1;0,0000018;
июль 2020;0;0;
август 2020;2;0,0000034;
сентябрь 2020;1;0,0000014;
октябрь 2020;1;0,0000013;
ноябрь 2020;2;0,0000029;
декабрь 2020;0;0;
январь 2021;0;0;
февраль 2021;0;0;
март 2021;0;0;
апрель 2021;0;0;
май 2021;0;0;
июнь 2021;2;0,0000031;
июль 2021;2;0,0000030;
август 2021;0;0;
сентябрь 2021;0;0;
октябрь 2021;0;0;
ноябрь 2021;2;0,0000024;
декабрь 2021;0;0;
январь 2022;0;0;
февраль 2022;2;0,0000022;
март 2022;0;0;
апрель 2022;0;0;
май 2022;1;0,0000013;
июнь 2022;6;0,0000082;
июль 2022;0;0;
август 2022;0;0;
сентябрь 2022;0;0;
октябрь 2022;2;0,0000023;
ноябрь 2022;1;0,0000011;
декабрь 2022;0;0;
январь 2023;0;0;
февраль 2023;0;0;
март 2023;0;0;
апрель 2023;0;0;
май 2023;4;0,0000054;
июнь 2023;1;0,0000013;
июль 2023;0;0;
август 2023;2;0,0000026;
сентябрь 2023;0;0;
октябрь 2023;1;0,0000011;
ноябрь 2023;2;0,0000023;
декабрь 2023;0;0;
январь 2024;2;0,0000025;
февраль 2024;1;0,0000012;
март 2024;1;0,0000013;
апрель 2024;2;0,0000027;
май 2024;0;0;
июнь 2024;0;0;
июль 2024;2;0,0000030;
август 2024;0;0;
сентябрь 2024;0;0;
октябрь 2024;1;0,0000012;
ноябрь 2024;2;0,0000024;
декабрь 2024;1;0,0000012;
