Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «айлык», по месяцам, 31.12.2017 — 30.01.2025, Республика Мордовия, все устройства
декабрь 2017;0;0;
январь 2018;0;0;
февраль 2018;1;0,0000032;
март 2018;0;0;
апрель 2018;0;0;
май 2018;0;0;
июнь 2018;0;0;
июль 2018;0;0;
август 2018;1;0,0000035;
сентябрь 2018;0;0;
октябрь 2018;0;0;
ноябрь 2018;1;0,0000032;
декабрь 2018;0;0;
январь 2019;0;0;
февраль 2019;0;0;
март 2019;0;0;
апрель 2019;0;0;
май 2019;2;0,0000083;
июнь 2019;0;0;
июль 2019;0;0;
август 2019;0;0;
сентябрь 2019;0;0;
октябрь 2019;6;0,0000190;
ноябрь 2019;0;0;
декабрь 2019;3;0,0000086;
январь 2020;4;0,0000115;
февраль 2020;1;0,0000027;
март 2020;2;0,0000040;
апрель 2020;1;0,0000024;
май 2020;0;0;
июнь 2020;0;0;
июль 2020;0;0;
август 2020;5;0,0000140;
сентябрь 2020;2;0,0000048;
октябрь 2020;0;0;
ноябрь 2020;2;0,0000046;
декабрь 2020;0;0;
январь 2021;4;0,0000101;
февраль 2021;3;0,0000072;
март 2021;1;0,0000024;
апрель 2021;0;0;
май 2021;0;0;
июнь 2021;0;0;
июль 2021;0;0;
август 2021;0;0;
сентябрь 2021;0;0;
октябрь 2021;0;0;
ноябрь 2021;0;0;
декабрь 2021;1;0,0000021;
январь 2022;3;0,0000065;
февраль 2022;0;0;
март 2022;0;0;
апрель 2022;0;0;
май 2022;0;0;
июнь 2022;0;0;
июль 2022;0;0;
август 2022;0;0;
сентябрь 2022;0;0;
октябрь 2022;0;0;
ноябрь 2022;0;0;
декабрь 2022;0;0;
январь 2023;0;0;
февраль 2023;0;0;
март 2023;0;0;
апрель 2023;0;0;
май 2023;0;0;
июнь 2023;0;0;
июль 2023;0;0;
август 2023;0;0;
сентябрь 2023;0;0;
октябрь 2023;0;0;
ноябрь 2023;0;0;
декабрь 2023;0;0;
январь 2024;0;0;
февраль 2024;0;0;
март 2024;0;0;
апрель 2024;0;0;
май 2024;0;0;
июнь 2024;1;0,0000028;
июль 2024;0;0;
август 2024;0;0;
сентябрь 2024;0;0;
октябрь 2024;3;0,0000066;
ноябрь 2024;0;0;
декабрь 2024;0;0;
